Name,Place_ID,Decoded_Lat,Decoded_Lng,Scraped_Lat,Scraped_Lng,Difference_Meters
GT Medical Head Office,ChIJPTLtqBLQwxURoGqe4fMLiFI,21.563413001877297,39.16498199690398,21.5633574,39.1651779,21.2
Alhalees for Medical Equipment Ltd شركة الهليس للمعدات الطبية,ChIJI8qFxNDRwxUR1jX_DFiJ2Nk,21.538921282857412,39.20455799535733,21.5386793,39.20441,30.9
SPAMA,ChIJNdAcjtTPwxURadlG56U-ZDE,21.531906445008616,39.19401082028464,21.5291011,39.185147,967.8
Sahar Pharmacy Warehouse مستودع صيدلية صحار,ChIJIxSHfgDPwxURKa1qQExiRwg,21.496064157467526,39.193542046072984,21.5291545,39.1610863,4977.8
SEPHORA Jeddah Park,ChIJ3RAOQSnRwxURSknXlWvm6vI,21.60783072045084,39.200071966462154,21.556435,39.185866,5897.8
Natural soap,ChIJJX_g8izRwxURygf5WYWNh68,21.61113081345838,39.2025529451836,21.5610373,39.1865383,5808.2
ريتوالز,ChIJzXTy8x3RwxURBu7oNgpO2Eo,21.589025144146365,39.196337583472506,21.5572018,39.1851864,3719.9
ذي بودي شوب,ChIJYYpV20fQwxURbRmloZ8SzXs,21.559951824373417,39.18493872015186,21.5598963,39.1848918,7.8
لابوتيه La Beaute,ChIJAYR87bXRwxURD2vWzwg-fIk,21.554840290931295,39.20000263695001,21.556932,39.185188,1548.8
كيو&ايه Q&A,ChIJH_g1DKHRwxURXKTML9SjATY,21.566770256122595,39.213697070674804,21.555994,39.18401,3293.9
لودر بيوتيفل - Lodrbeautiful,ChIJ6wAaANvRwxURIu42jhsxCeQ,21.53932210614488,39.209009125280666,21.5603647,39.1857671,3352.6
Care Outlet,ChIJqdUgHPPRwxURnGekcX8e0I8,21.54428127421427,39.229980869978725,21.5560625,39.1725625,6077.4
Glow House - جلو هاوس,ChIJA1G0FQvRwxURXpM52uVd3cE,21.5733194399935,39.215315393398676,21.5532524,39.1659401,5569.4
Nazih Cosmetics (Aziz Mall),ChIJ538_OQDRwxURb4CMLUMDZL4,21.576534986839853,39.197029011494216,21.576518,39.19735,33.2
Ilahui - Jeddah Park | اي لاهوي - جدة بارك,ChIJVW8AlBTRwxURO1jH8jwXRGk,21.585710926614954,39.21514480767502,21.5564602,39.1837663,4592.1
Nazih Cosmetics (Sari Showroom),ChIJ7zSFw_TQwxURA52OPlRv-LI,21.584019981721923,39.17618900591729,21.5801518,39.1659798,1139.4
شركة المستشرق للتجارة,ChIJb4-Kv17QwxURu1c0SPOAjLg,21.576162918540554,39.179163769939734,21.5751135,39.1780764,162.0
Faces,ChIJV3_aIgXQwxUR3CZXXci3-YY,21.55249039726865,39.1636043855762,21.5525004,39.1635749,3.2
مدينة مركز للهدايا,ChIJ3yITJUzQwxURH06tSxMp-Uc,21.563375386715585,39.19131419057989,21.5633762,39.1913142,0.1
ملتقى العناية,ChIJh2Uk2cPRwxURcH6oriiq3Ig,21.54535633098847,39.2132496176636,21.5845206,39.1751546,5869.4
